objects_moved,hiders_movement,seekers_movement,hiders_reward,seekers_reward
7,34.806598274356034,19.47072276256453,12.0,-12.0
18,33.028293220427344,21.20352689255757,-18.0,18.0
87,36.7362225479213,21.10614241284076,14.0,-14.0
42,33.265421564950316,23.097401465230067,-18.0,18.0
62,32.63388609486678,19.519893824538222,2.0,-2.0
0,31.456839220795718,19.970726221155775,-36.0,36.0
25,32.518851437635284,20.83969787128903,-40.0,40.0
106,33.66037787493271,20.627567119922155,40.0,-40.0
22,32.78101485999349,20.144333931316485,26.0,-26.0
64,36.27244536739541,18.77802853385505,30.0,-30.0
55,32.64448388627988,17.789478528787804,28.0,-28.0
45,33.306859786406626,20.15308730918431,-26.0,26.0
0,34.370000521152434,21.10615847486486,4.0,-4.0
0,31.350227848436784,20.022211513325498,-24.0,24.0
0,34.23269693498641,18.64745962198934,-36.0,36.0
52,37.5226644999779,20.915728853018834,22.0,-22.0
34,31.65982763781254,20.553075362562197,14.0,-14.0
92,39.38654078528544,23.18043007893533,-28.0,28.0
11,32.14505892005868,19.105565720273503,-28.0,28.0
79,31.84426789060889,20.808146634370072,24.0,-24.0
83,31.895956786673622,21.00478564709383,22.0,-22.0
51,33.92925394893399,18.518980999357655,-22.0,22.0
33,33.7922703749785,21.75213532574024,-8.0,8.0
41,31.71966348474558,21.860860990948005,-2.0,2.0
40,35.965345990576665,19.77094223387143,-22.0,22.0
0,31.9925112810953,20.50532988214762,-46.0,46.0
0,31.494850488032775,21.245374517994826,-28.0,28.0
43,38.088569009486136,21.039375892115046,2.0,-2.0
36,33.88077849591157,19.127287128852643,0.0,0.0
21,36.65393600321236,18.77793767987265,-10.0,10.0
36,33.11091948658631,20.712024358146323,-14.0,14.0
0,31.696085174821327,21.234169335148152,-22.0,22.0
0,35.726340394394306,21.10636327389801,-44.0,44.0
27,35.86756293939565,21.31743112312325,-6.0,6.0
0,34.148638898407924,20.977819638672674,-28.0,28.0
28,36.14360875472392,19.836370935782696,-22.0,22.0
0,36.691880439739606,18.524908596882455,-28.0,28.0
68,33.79224837639767,18.59522610893558,12.0,-12.0
76,32.29198695204342,19.81049583255718,-8.0,8.0
0,33.28165812288342,20.96376885269798,-30.0,30.0
43,38.865385522984276,22.873133386091226,-18.0,18.0
45,35.60985780699747,19.25974422916009,-30.0,30.0
71,33.09750465253516,21.027064244448763,30.0,-30.0
46,32.63390143971874,21.07780164634143,-16.0,16.0
18,37.08544549647416,22.477674078905753,-20.0,20.0
48,34.397961256165246,18.357296850639557,-20.0,20.0
0,34.46457794997911,21.298722624714372,10.0,-10.0
28,33.78984192245566,21.908185448906057,-34.0,34.0
24,32.927201244575365,18.853020334377188,-18.0,18.0
0,33.53737004454589,21.150672974095013,-26.0,26.0
81,32.392910486644446,23.4629440926678,-10.0,10.0
35,35.869091018077775,21.395818101806604,-6.0,6.0
113,39.14618734938756,19.13613716478496,-24.0,24.0
15,32.533346416251476,23.043488342483897,-14.0,14.0
49,35.84370632119516,20.933681211457287,-4.0,4.0
14,35.95611777501494,21.379835275583304,-38.0,38.0
47,33.62002974187878,19.537735663021135,10.0,-10.0
77,33.45010711234927,19.584270472425125,-30.0,30.0
0,35.17575682998713,21.786800639953437,10.0,-10.0
34,33.42693349341031,20.243517470259157,-4.0,4.0
0,34.81231710035644,21.28307227421135,-36.0,36.0
0,32.782014153057,23.220577350309867,-32.0,32.0
0,35.27457834604819,19.206625790205127,-22.0,22.0
72,35.21723288322329,21.804842844463145,-36.0,36.0
57,30.434262121966082,23.324018439682945,-32.0,32.0
48,38.603126762306154,21.159892549111262,20.0,-20.0
0,34.452387655319306,22.11374088493662,-48.0,48.0
0,31.36525084248148,18.723462981702497,-36.0,36.0
0,35.85657051084804,21.223098487158026,-18.0,18.0
69,33.34099765415078,20.72385646158141,-6.0,6.0
29,34.52228426212217,23.97347162381978,10.0,-10.0
30,36.547529640491106,19.48004157130582,-46.0,46.0
5,31.559776720605594,21.392097747296773,28.0,-28.0
19,35.663132676375504,17.511017932517664,-36.0,36.0
14,35.36390051622367,18.613436482416276,44.0,-44.0
73,33.79516036561671,22.62204260841343,-32.0,32.0
110,30.26963956610752,21.021203454643867,-8.0,8.0
60,35.37076736500159,20.404354922323417,2.0,-2.0
83,33.77265823010121,18.683887924358288,12.0,-12.0
0,32.200607086060444,19.599619919633284,-44.0,44.0
0,31.93321412462262,22.416020790722648,-40.0,40.0
87,37.35698924319594,20.404165791763276,14.0,-14.0
64,31.264885210337408,22.71299163059875,-22.0,22.0
80,35.7240699132487,20.5822463119579,18.0,-18.0
76,32.67289473164362,24.851568392959138,-40.0,40.0
0,30.02069368075707,21.27725632938999,-42.0,42.0
37,32.07717691550545,20.295582826718224,24.0,-24.0
40,33.81581421200186,21.495135149008473,10.0,-10.0
57,31.395521252415765,17.327284726148726,-14.0,14.0
24,35.7878773193343,19.55082426636937,-18.0,18.0
45,35.13123770382632,19.231862371640702,-14.0,14.0
14,33.13847393983999,20.45646094110677,-26.0,26.0
10,34.59028022883994,20.49855494016454,18.0,-18.0
26,34.01260556326879,20.2340169457433,-44.0,44.0
21,36.27771661167656,21.02008304967632,-28.0,28.0
42,35.48983424476996,20.44449599211468,-30.0,30.0
38,33.84211562698973,20.42034974677758,-6.0,6.0
35,34.699392455832424,18.916792907812823,-16.0,16.0
37,29.70003074530319,18.289726442763566,-24.0,24.0
9,35.19343123809971,23.969445592802654,-30.0,30.0
56,32.852850792374404,19.273454194485083,16.0,-16.0
5,31.999394643466104,18.198130962498514,-22.0,22.0
0,36.67133374585501,17.677352092599822,-30.0,30.0
23,35.05672263026907,20.837865506112887,-28.0,28.0
140,32.71752440902013,18.73777337064045,-24.0,24.0
0,34.06140342036918,21.039574327130534,-32.0,32.0
0,37.03893987602505,19.486702772524577,-14.0,14.0
0,36.218128045777775,18.932187391345604,-32.0,32.0
45,32.103566143803796,19.428609945709045,-28.0,28.0
20,32.779212754329066,19.172348136053763,-8.0,8.0
70,36.859716758597436,19.569454048552185,40.0,-40.0
25,36.54339328979949,19.352876888237567,-30.0,30.0
23,36.50057721815811,19.177131681040656,-48.0,48.0
77,35.29959524633637,22.097776378419937,22.0,-22.0
26,31.899780239601473,20.442727947991436,-8.0,8.0
71,36.296237934431545,18.739497208684664,-22.0,22.0
35,34.561608860678,23.719266664655997,-22.0,22.0
57,34.64134090378639,23.01047187692079,-28.0,28.0
54,37.05303100717632,23.31921526100326,-22.0,22.0
20,34.40778612521927,19.379567231886615,-2.0,2.0
5,35.005390694810934,17.71487249926994,20.0,-20.0
28,35.09557888650053,18.780507559643755,-36.0,36.0
0,34.05905091542901,22.25970347955638,-8.0,8.0
39,32.14913972472043,21.348392770886843,-26.0,26.0
16,35.39252355540533,20.67415943021771,-28.0,28.0
10,33.11246576035539,19.87585145357433,-44.0,44.0
35,28.45607165940241,17.08013263489406,28.0,-28.0
23,34.88490216514087,19.135684994367946,-28.0,28.0
35,36.50681566689254,19.106733303708545,2.0,-2.0
93,35.17057742190683,24.23531653644709,48.0,-48.0
45,34.759035171293775,19.583119415764987,-46.0,46.0
38,34.23520949758691,21.09917733679252,-6.0,6.0
26,32.30804859942886,19.129646250308607,-14.0,14.0
1,35.71704467406372,22.541092320838743,-30.0,30.0
12,36.62602499533395,22.166929204308335,18.0,-18.0
63,31.93978686332985,19.560887303121373,16.0,-16.0
55,36.86450561975856,20.759299319259622,-32.0,32.0
6,38.74082342818218,20.525108142310597,-44.0,44.0
13,37.95319664073956,20.807153857508897,-36.0,36.0
21,35.71145336942309,21.040225268426223,-30.0,30.0
7,31.175964447191262,21.30995746152078,-16.0,16.0
22,36.032377230449484,20.471147542755624,-38.0,38.0
19,35.85944385084923,19.045966819306294,-8.0,8.0
26,34.77552570626683,19.688910935505866,-48.0,48.0
21,31.257256196820347,21.440016140401966,-38.0,38.0
0,36.461832963608686,18.80392141197219,-8.0,8.0
64,35.23490379789772,22.19935795883166,-20.0,20.0
97,34.011522867620386,20.931905930386282,34.0,-34.0
12,38.717830813802976,20.92945724514651,20.0,-20.0
42,30.812463216818408,19.198740821016045,34.0,-34.0
78,33.48169310782897,21.19798872691096,34.0,-34.0
35,32.71509997346019,21.18202409480525,-2.0,2.0
0,27.718158426462207,22.51902542952995,-14.0,14.0
0,35.2501156262292,20.65622371412954,-34.0,34.0
33,34.49984225701965,19.666557050028548,-30.0,30.0
43,36.38294834530176,21.93245057470543,-18.0,18.0
18,32.29640135670663,20.995198581440103,-20.0,20.0
62,38.64809593461104,22.617602129916985,10.0,-10.0
23,35.4243097006872,19.63116287130129,-32.0,32.0
50,30.279014710842098,24.19202509828397,-12.0,12.0
41,32.1287275769195,20.6083269564928,18.0,-18.0
47,32.85549314906444,19.69188685431844,26.0,-26.0
81,36.36871301246116,18.554755826082843,-28.0,28.0
120,32.10120109021757,23.0005797448032,-18.0,18.0
0,34.810946233648146,21.099900024171923,-44.0,44.0
75,31.517695778117943,20.515808391604164,-26.0,26.0
54,34.531884149873385,18.23987613132768,-38.0,38.0
85,32.26953788616227,23.601442336997437,14.0,-14.0
46,36.295281741503175,20.676577036290787,-10.0,10.0
67,37.92134195067066,21.550133557275053,-2.0,2.0
20,37.06735958940379,21.08889473719507,-30.0,30.0
0,33.56071635266874,23.66352673279277,-30.0,30.0
46,33.598691088461095,21.944952861657804,-26.0,26.0
0,36.39108706936461,21.008823734220652,4.0,-4.0
25,31.44050758124583,20.179209680274493,-38.0,38.0
0,36.969968335401,22.166777965728375,-32.0,32.0
69,33.90701338223317,20.04136540444339,-32.0,32.0
59,36.421440976701746,19.08917176925644,-18.0,18.0
41,32.77544193873178,21.410174400461273,8.0,-8.0
40,33.15072311698713,21.7106275584481,-10.0,10.0
26,38.90345343335169,19.32956404495623,-42.0,42.0
41,33.195462813018864,20.032438901299344,-42.0,42.0
112,32.03572415312619,20.314529716253265,-24.0,24.0
29,31.15774201558129,18.80821135568191,4.0,-4.0
36,35.295375200594044,20.6330922230947,-46.0,46.0
100,37.380635672891884,23.12790063253582,22.0,-22.0
31,32.39415466429392,20.650697909125405,-34.0,34.0
0,34.93982485546602,19.60462914641139,16.0,-16.0
34,35.85825939335518,22.881394993486314,-34.0,34.0
23,38.369701294354385,17.954058042601233,-18.0,18.0
30,33.04834802859907,20.942356059752036,10.0,-10.0
45,32.60914555350365,19.61116865940914,36.0,-36.0
0,32.64334618875615,19.907004296856318,-40.0,40.0
74,32.390066782290134,20.139783008340615,24.0,-24.0
13,32.043571317205206,19.634122540729013,-46.0,46.0
59,35.766058435459094,19.033165041526004,10.0,-10.0
8,34.34815842028786,22.59137992923956,-44.0,44.0
0,35.5792468442179,22.06800772935379,-42.0,42.0
37,34.41869477441662,20.660526552867072,20.0,-20.0
0,31.411431790262025,20.54323242277116,-42.0,42.0
60,32.39900431190589,22.826621507959228,-10.0,10.0
69,36.47138764284446,23.340247544285333,4.0,-4.0
0,34.993730725901656,22.189738880449852,8.0,-8.0
14,37.2541688438945,18.217417770499264,24.0,-24.0
39,31.94655951265026,19.019410025776693,-26.0,26.0
45,39.17216455467608,16.538894669430952,-16.0,16.0
13,35.9006721385882,19.455345720995663,-48.0,48.0
36,36.50803914701468,21.10074375322936,-22.0,22.0
0,36.90330873169189,19.133386546723063,-30.0,30.0
62,32.72906672525193,20.785386642320645,2.0,-2.0
8,34.313888718337786,17.332238444979936,-38.0,38.0
18,36.34672046109245,21.21392666259838,-8.0,8.0
46,29.147813867174253,20.91105054872852,-4.0,4.0
41,30.37352737808614,22.792748526438647,-28.0,28.0
49,36.35065737857026,23.463815467707427,14.0,-14.0
70,35.3656638738308,19.065522581146585,-12.0,12.0
0,38.0173142849787,20.555291745985418,-6.0,6.0
38,34.180246430743594,21.469698526016888,-44.0,44.0
0,32.63855872728077,21.161090830059212,18.0,-18.0
20,33.42181755132419,19.36363983930331,-48.0,48.0
7,34.603738801437196,22.15087381625911,-42.0,42.0
0,36.24654613517396,20.065619571251624,-34.0,34.0
24,31.87154817434669,22.119441455866344,48.0,-48.0
16,32.94285665294964,19.78866092594855,-40.0,40.0
0,34.976898939870836,18.379176499458563,-30.0,30.0
46,30.798072254400743,21.37640942466112,-36.0,36.0
25,35.01273239740994,24.035169475007272,-12.0,12.0
20,34.763848663706426,18.71768107944793,8.0,-8.0
38,34.29631681494002,20.724457147157178,-34.0,34.0
78,34.32322629366589,19.416054342493414,-34.0,34.0
14,35.129444748538376,19.10393145734887,44.0,-44.0
14,29.244082340661073,18.998199812390578,-36.0,36.0
12,36.27040367940492,18.691046672140363,-6.0,6.0
37,36.20915387250846,20.562837940767768,22.0,-22.0
0,33.934444391265295,21.927153403945134,-38.0,38.0
90,33.49185278287978,18.381859807336934,-16.0,16.0
18,37.43688768476306,21.285403327722896,-48.0,48.0
65,34.45759768987887,20.314390316572446,-24.0,24.0
18,31.79637130645625,18.88362324006893,-24.0,24.0
57,30.86546619945613,22.224160286436625,-14.0,14.0
33,35.26543669920841,21.84042014583912,-40.0,40.0
42,36.96822052610816,21.653333429916998,-2.0,2.0
16,33.795676569480094,21.83317609404339,-24.0,24.0
45,34.17891172301204,20.200456224825384,12.0,-12.0
34,33.75389539951382,18.052102378121443,-2.0,2.0
11,33.777993049188204,21.81486080835752,12.0,-12.0
46,31.566787936085962,22.913880911968267,-30.0,30.0
30,34.01901701865454,22.266685994803318,-16.0,16.0
54,32.21864820424879,19.825740833711947,-26.0,26.0
14,37.29964015782724,21.721737094426164,-42.0,42.0
5,34.7976781385614,23.04053746532806,-36.0,36.0
13,32.68064121023075,21.419339507276852,-24.0,24.0
117,36.91580409651223,19.709862093031145,-32.0,32.0
62,39.589425127456316,19.80522649093514,-38.0,38.0
0,34.21328471935678,18.08773181108078,-24.0,24.0
77,35.3461282010823,21.05364256445171,30.0,-30.0
10,33.635613280039095,20.269297040332614,8.0,-8.0
85,35.416069801787,20.084515990947857,24.0,-24.0
36,37.89528614117887,19.771147623193656,-28.0,28.0
40,34.70653969244521,20.78014783707747,-46.0,46.0
68,34.84375849803501,22.55906898196214,-12.0,12.0
58,34.23097113099066,17.810909479841015,2.0,-2.0
65,32.39743731513036,19.93704720744556,30.0,-30.0
14,31.928804126700854,20.960531703692336,-28.0,28.0
37,34.04265191668757,18.48096117260456,42.0,-42.0
97,32.607958613545925,20.630784757014172,4.0,-4.0
29,35.50804459605128,21.941103065136865,2.0,-2.0
38,31.212604427838723,21.717514441390446,26.0,-26.0
32,33.84038172054718,19.646377844668294,-38.0,38.0
59,35.05754282326914,21.02339252105999,-38.0,38.0
61,35.66789104939605,18.193606028695495,-2.0,2.0
84,34.30977256228437,23.010371005629008,-4.0,4.0
37,31.423744596558596,19.75222852177649,-22.0,22.0
0,35.784878957671886,18.73241868201906,-36.0,36.0
54,31.34727386990284,19.062161594088195,-12.0,12.0
25,32.910593635945766,21.53591791136091,-28.0,28.0
65,32.58654131901972,22.25720215608059,-14.0,14.0
0,32.06386198388818,19.075219576303983,-30.0,30.0
22,35.78348632636802,18.456393156828312,-6.0,6.0
23,34.9943091034639,20.459542558670897,-14.0,14.0
91,35.41698634099507,20.139180060138415,0.0,0.0
0,36.01166978675969,22.514841241157892,-10.0,10.0
91,33.06672719311449,21.79784061595887,-4.0,4.0
89,34.39210242330189,20.195119215216383,-20.0,20.0
50,33.541932335341194,20.70974776434174,-16.0,16.0
67,34.79814582333713,23.600680169607163,-32.0,32.0
0,33.02873313489704,22.071972575656,-18.0,18.0
46,34.66329491035787,20.669843939865753,-10.0,10.0
54,32.87354322532629,18.969684368478926,36.0,-36.0
24,32.37418924333538,20.758208140238786,10.0,-10.0
20,33.988662447611866,21.161004448345153,-12.0,12.0
53,34.01899942424992,21.155506542755717,-24.0,24.0
82,33.15341597047026,18.14534268140423,-14.0,14.0
16,37.52221593374455,16.789211609983983,-6.0,6.0
26,36.5730278921497,17.247642100280096,32.0,-32.0
71,34.44517925604602,21.621515186757918,14.0,-14.0
0,35.40601512880917,24.040905041342906,-18.0,18.0
38,32.44254383425403,19.31620939783994,-12.0,12.0
0,36.41061093093838,19.430936302301212,-14.0,14.0
64,32.22232713937821,20.750615778712646,-40.0,40.0
0,29.96238172843642,21.420359763947882,-28.0,28.0
38,31.41753799226782,18.36744506565283,42.0,-42.0
28,33.96030799767014,21.27912872764832,44.0,-44.0
68,34.259303504007406,23.670820849126457,-30.0,30.0
54,34.5300308449837,19.81247293512621,-14.0,14.0
9,37.474769335538596,20.830724865620834,-36.0,36.0
0,32.98729745904701,20.809887842011907,-32.0,32.0
74,33.44887143264395,19.652908809852082,-2.0,2.0
29,34.14937068529495,19.85902532192158,-36.0,36.0
28,35.095148501305125,21.38031208695216,-12.0,12.0
31,32.537063776646654,20.881916097331924,2.0,-2.0
72,31.402226648500708,19.5221832933425,-22.0,22.0
29,35.12156460107442,22.591546629067288,-46.0,46.0
0,31.067306611989427,18.073769501796807,-32.0,32.0
