objects_moved,hiders_movement,seekers_movement,hiders_reward,seekers_reward
12,19.77691990983189,7.900660263862171,-44.0,44.0
47,20.690105386121058,20.183520467386394,48.0,-48.0
0,10.461779739103013,11.783248847282914,-48.0,48.0
0,16.60353979425477,8.75954747752329,-48.0,48.0
0,16.92394807205661,7.557801116158533,-44.0,44.0
0,13.437005948894425,21.179341799036127,48.0,-48.0
0,21.148227870590382,17.28378859765783,-32.0,32.0
9,20.870767961432662,16.550930506443873,-30.0,30.0
43,26.102257581039648,14.255408618004992,-48.0,48.0
35,5.721571603663005,17.539685447878824,-30.0,30.0
28,15.451428718662088,17.108891853242877,-42.0,42.0
64,17.8799971458375,23.15732806578743,20.0,-20.0
26,9.50361498379631,8.522522628099033,-38.0,38.0
85,25.983094647020188,12.652422397926118,-24.0,24.0
3,19.270490855424963,13.000671855228518,-30.0,30.0
0,16.236618347768612,3.5264317409415105,-48.0,48.0
31,16.074888862062227,18.003311608498645,-24.0,24.0
0,12.119445331544902,2.0848326507918546,-48.0,48.0
0,26.564010745569437,6.635983085894048,-42.0,42.0
0,8.032802117160609,14.638006552039005,-22.0,22.0
97,25.998625637771784,5.563763630993185,-48.0,48.0
0,10.780761864825806,17.990292036360973,10.0,-10.0
0,13.171663263239214,8.412975026237552,-48.0,48.0
45,13.330266226860406,16.489501734278562,-46.0,46.0
15,25.735372098803026,13.217671798840874,-48.0,48.0
48,30.7130358764711,15.558975690551371,-48.0,48.0
66,26.24367629832381,7.627576243853676,-48.0,48.0
0,15.2748634795556,12.220828687957317,-32.0,32.0
12,23.500903632371575,10.975168439446545,-48.0,48.0
0,14.168634798341373,6.943978943123387,-44.0,44.0
0,8.710120965818735,6.520920785895082,-48.0,48.0
9,22.822961963954914,7.576855650500725,-48.0,48.0
43,19.778406714735006,17.9031224006734,-18.0,18.0
0,8.497767399782353,5.266332964461416,-48.0,48.0
29,29.480440219013158,10.130823460028369,-40.0,40.0
63,21.145645563586974,18.370884688341835,-30.0,30.0
49,20.579121164694296,17.04061936468734,-34.0,34.0
21,22.20821912402911,16.889462916812683,-16.0,16.0
38,25.542553559426786,12.034515060647141,-34.0,34.0
0,9.802785116414483,15.8299313422527,-32.0,32.0
41,20.56355210698127,16.003644519465997,-48.0,48.0
0,8.250015530428962,13.535033286141623,-26.0,26.0
51,26.176987219016727,13.499054497251405,-32.0,32.0
0,3.9830088398127517,17.151659876703622,-44.0,44.0
50,18.368784539237897,17.133273572073872,-42.0,42.0
5,12.881669825726771,15.722964286028699,-18.0,18.0
0,16.25778101027915,12.130836639036273,-48.0,48.0
55,8.054590308262625,10.281481705207877,-48.0,48.0
0,9.3333358231535,10.985916145453052,-38.0,38.0
32,20.2915992769312,9.720918405978,-48.0,48.0
0,20.88646174393268,11.102483482719155,-48.0,48.0
0,20.963157136233733,11.265340131944505,-48.0,48.0
158,27.141169020021156,16.07555535479871,-10.0,10.0
13,23.538267642998598,13.807211034158776,-22.0,22.0
0,6.229212202863951,15.22935760108621,-28.0,28.0
0,14.887174044534659,21.8747539230949,0.0,0.0
5,7.728115112512147,19.395512607876547,48.0,-48.0
0,12.01645861468429,18.610903464192443,-2.0,2.0
62,13.982865859961205,6.722394892940596,-48.0,48.0
0,18.527808704930735,16.085293423428702,-48.0,48.0
0,24.643620513057748,11.075583798063477,-42.0,42.0
60,20.50049897210846,15.720290886909021,-46.0,46.0
17,8.594131793206024,14.484663631389349,-46.0,46.0
0,26.636018110450927,8.646916666554617,-44.0,44.0
0,12.694976456932382,12.17883546477967,-44.0,44.0
38,12.017917366152298,11.896091308146158,-42.0,42.0
0,19.75477334395499,9.728547554800198,-48.0,48.0
0,8.979998751512225,7.219434875882265,-48.0,48.0
1,15.158288954239184,15.212425017462003,-30.0,30.0
0,16.2684543064116,12.550453906573795,-38.0,38.0
69,28.124344391397642,18.418511937375463,-26.0,26.0
25,24.15271418282989,15.473912100115944,-38.0,38.0
0,15.844433839687303,9.1177448520715,-48.0,48.0
40,26.141724350632956,18.09824074073544,22.0,-22.0
0,17.68856603706947,7.98123813648541,-46.0,46.0
33,20.500281374742805,7.163091930249906,-46.0,46.0
0,7.7273994341711845,13.160567386519578,-36.0,36.0
31,17.115538996951262,17.459731470241252,-40.0,40.0
0,22.844197282875918,10.901702144857525,-48.0,48.0
7,7.572899774225479,17.86676592006028,-24.0,24.0
47,25.6377200060912,16.261395406481398,-30.0,30.0
0,6.363595011935626,12.750139926549123,-32.0,32.0
6,27.26326278892111,10.763425564214828,-34.0,34.0
0,6.728586128087667,15.493827630191435,-28.0,28.0
56,18.021063889042882,21.33211630215155,10.0,-10.0
26,27.668065962892936,5.608748036256031,-44.0,44.0
0,15.00099145437967,19.244172881066635,-12.0,12.0
6,22.540854381413226,11.93112074658615,-42.0,42.0
25,13.921310849594729,14.07461756754709,-48.0,48.0
37,29.295762782915862,13.386830168288446,-12.0,12.0
87,35.2786088562868,11.192589099137157,-36.0,36.0
63,25.22190607698144,16.36337575870356,-44.0,44.0
39,6.361046276954491,12.312021191411572,-32.0,32.0
7,11.22419547193247,8.433828658150917,-48.0,48.0
0,14.797973467895392,9.8959379870976,-48.0,48.0
0,21.694949015359658,12.232341683725968,-48.0,48.0
5,21.415623533282357,16.033275549351185,-48.0,48.0
0,17.489331992109637,14.92305153212431,-44.0,44.0
13,12.790454289761799,12.172243194959545,-44.0,44.0
20,7.161869672207094,8.702828313583298,-48.0,48.0
21,19.629202571982002,9.41296402823046,-48.0,48.0
18,28.379857371015905,10.506021379944256,-34.0,34.0
27,9.816069576681729,17.84131120292689,-26.0,26.0
6,9.502946076724404,14.353989943939984,-40.0,40.0
0,11.264128544037028,7.769445309755954,-48.0,48.0
124,22.934086763238547,18.161661362256606,-18.0,18.0
11,17.500403283097487,8.756720397164305,-48.0,48.0
34,22.015798861765102,17.111349673559584,-10.0,10.0
53,17.083146076696103,15.348720197336839,-30.0,30.0
65,18.708938456557313,17.823980994808675,-42.0,42.0
112,12.106561374924425,22.025866510206537,38.0,-38.0
19,14.857242731110954,14.487184849356792,-18.0,18.0
0,5.189757095219653,22.192146119837002,-2.0,2.0
0,9.216726140014902,16.473961367752818,-16.0,16.0
29,19.380518445528597,11.242629238036798,-42.0,42.0
15,28.198589688340984,14.171232623130523,-28.0,28.0
49,13.776294214697039,11.300293062760899,-36.0,36.0
16,23.593888192385513,13.182470079015971,-40.0,40.0
0,14.648993608809286,9.562419342449356,-42.0,42.0
44,22.585012270309942,13.357850640586568,-48.0,48.0
0,15.506210482140046,7.060681009042666,-48.0,48.0
0,29.610815917759123,11.249677193966711,-30.0,30.0
51,19.365864585550273,11.916009616881421,-36.0,36.0
0,10.537213415460153,3.4044431009382494,-48.0,48.0
54,25.16153633597327,9.044722375865913,-46.0,46.0
40,24.124068826725235,6.403999938312829,-48.0,48.0
16,7.76950628940871,9.630091577788145,-48.0,48.0
61,22.01039901875448,15.416726089356155,-46.0,46.0
57,18.114514579170134,8.93895292422288,-44.0,44.0
45,21.49055746585815,9.680356518802592,-48.0,48.0
0,13.130441431559412,11.19055638855331,-46.0,46.0
25,11.796904247502676,20.364622427769586,16.0,-16.0
0,11.825117338488289,6.841978886325036,-48.0,48.0
17,12.202427142177287,7.01403968697968,-42.0,42.0
